name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Manuela Achilles,0.5652127747424178,-0.7411561628453148,-0.175943388102897,0.5600092405521352,0.517819251170193,0.5631219535987213,0.5930430736924921,0.5672057572338317,0.5085231232643127,0.6297837008322988,0.4241619039622564,0.6552385842427612,-0.7212440247337024,-0.7636076106287448,-0.7123116921633482,-0.6827489215880632,-0.9932491295039654,-0.8883463097736239,-0.6584656095753114,-0.966697383671999,-0.5988469402239259,-0.49846848397282884,-0.6357017221657196,-0.6615127573410671,-0.7126176121334236,-0.6444496960778322,-0.6131000897254456,uva
Fahad Ahmad Bishara,0.5803917132873344,-0.8232193830537394,-0.24282766976640502,0.6486223775148392,0.5193345274212162,0.4932712802551095,0.4438984498323558,0.5159750416460965,0.4728925397600791,0.6133585568795018,0.6420273454984029,0.7368620127439499,-0.7962942361831665,-0.748032187767051,-0.8696891339495778,-0.9017083812505007,-0.7896963537981114,-0.5853480982283752,-0.7019891275190994,-0.9444931633770466,-0.980867549777031,-0.8766885073855519,-0.6832067451720671,-0.9682645481079817,-0.6284406706690788,-0.6885601710528135,-0.9025506880134344,uva
Emily Burrill,0.5333163923821654,-0.8100625623890508,-0.2767461700068854,0.6326493138387089,0.4628252617698728,0.47709433538857765,0.39915278920247443,0.560251050144434,0.5278975651771933,0.5585359185146891,0.6411885090668996,0.42722534363468495,-0.9976717196404934,-0.910773117095232,-0.9716612212359905,-0.5969151854515076,-0.7367582991719246,-0.5979700137077916,-0.6304858668396871,-0.9033661633729935,-0.8082970926272017,-0.955345381051302,-0.6588499842004645,-0.9710661619901657,-0.5477716623043473,-0.7726312946528197,-0.6139335118730862,uva
Indrani Chatterjee,0.44591419093145174,-0.7534438345680023,-0.3075296436365506,0.4684232421517372,0.370623100504234,0.40954834867203443,0.2741462144384197,0.4138128413395448,0.4308403995118024,0.6191271696598442,0.4322060219248136,0.4409389138221741,-0.6567665176547093,-0.8324329328757747,-0.9468416702002287,-0.5679242127353237,-0.7774121500551701,-0.5462845697378118,-0.660894102840261,-0.9670325201004744,-0.9502511490136385,-0.5839244827628136,-0.5217998947948218,-0.9970298893749714,-0.5420378465205431,-0.5795118861964771,-0.5048729255795479,uva
Christa  Dierksheide,0.6271074834650154,-0.7468265633074049,-0.1197190798423895,0.4963412048513164,0.5280857306705085,0.8018930196762085,0.5896086126565934,0.5039878106974309,0.5574865599473318,0.5648017994916619,0.8598535001277924,0.4962814093700477,-0.8766646664589643,-0.7333069906604512,-0.8649590816348791,-0.676106733688584,-0.677246474660933,-0.46748975627934164,-0.6714524371726882,-0.8484638687223196,-0.6728229812261733,-0.8154655295656994,-0.7220405931197973,-0.9902355186641216,-0.6296145680050056,-0.6395967324663486,-0.5639677212263148,uva
Laurent  Dubois,0.504424659281973,-0.6997740611595926,-0.19534940187761962,0.4319733300757024,0.4643799544113969,0.613814089291277,0.3763250589441685,0.4716504474480947,0.5603850329915683,0.528002703487873,0.5601538680328264,0.4392919612427553,-0.604710515588522,-0.6328222410885074,-0.6910155253484845,-0.5343264240889477,-0.8575150528922677,-0.5387382584546383,-0.5902079163740079,-0.9001668468117714,-0.6213270700536668,-0.8799518616870046,-0.6785737041383982,-0.9015192110091448,-0.4858770676126534,-0.6440226567376938,-0.4725111000705511,uva
S. Max Edelson,0.6429570588739845,-0.7737135129614932,-0.1307564540875087,0.5743884579498192,0.5107770779638581,0.7930270522832871,0.5956747338175774,0.4995081060152088,0.45509804587326363,0.597992598691157,0.8598889648914337,0.6633886504918337,-0.8439711648970842,-0.7394890633446201,-0.6311892475932837,-0.5671025494935487,-0.8916538134217262,-0.8553732065483928,-0.894133348017931,-0.8716650512069464,-0.8949826490134001,-0.6544559230445884,-0.5809473555994218,-0.9558393638581038,-0.6094376367206376,-0.6696370989084244,-0.5656451270841654,uva
Kevin Gaines,0.298299541140405,-0.41828388248608456,-0.11998434134567953,0.3047964942641556,0.2536968671062998,0.2770886807319786,0.1841290132055256,0.2998038621885436,0.24269025832772104,0.32149155883692726,0.2591552220197798,0.4215715151280165,-0.4282271921262145,-0.4747265545455249,-0.44728183358193513,-0.46528746878487126,-0.34038318072756135,-0.4845908087574774,-0.3808053604194096,-0.3651430344209075,-0.40314858730005865,-0.27492962791196385,-0.400287744292405,-0.4416884647951903,-0.29711557303865754,-0.5617393713134031,-0.27000308201538725,uva
Chris Gratien,0.563586268571978,-0.797214264219689,-0.23362799564771097,0.5489107350590842,0.5598366270462672,0.5724639493972064,0.4569628520806631,0.602130806634369,0.42984737577763465,0.6211922575320517,0.6173963204026223,0.5956001439856158,-0.6810327290246885,-0.7299083617550357,-0.857245379127562,-0.5144871946056413,-0.7214252464473248,-0.9085114784538746,-0.9403548687696457,-0.9106024745851755,-0.7637206330895424,-0.74489756077528,-0.5928516920123782,-0.9412464145570993,-0.6153390972564619,-0.7173028454184532,-0.9609379451721907,uva
Grace Elizabeth Hale,0.5610477360032439,-0.7449593370208138,-0.18391160101756998,0.5428254552540326,0.4975428329641913,0.5843444972026228,0.4616386047283035,0.7182291835546494,0.48600735494257913,0.5647230103212808,0.6433495344056024,0.425482016739746,-0.6184580546493332,-0.6559961886400135,-0.8861700976267457,-0.6078140595629569,-0.9189664777368307,-0.5652635262037318,-0.6212413373458034,-0.8277606260962784,-0.6438295889113631,-0.792781584430486,-0.5675793063516419,-0.6626845235005021,-0.9206238128244877,-0.9262786917388439,-0.5629273029852498,uva
Paul D. Halliday,0.5358323342070611,-0.6900069757294016,-0.1541746415223405,0.5356896362041355,0.40661721473189294,0.6466358719048677,0.41751625368313766,0.4840537663549185,0.561638202269872,0.543921999456257,0.6586645458141963,0.4334777283792695,-0.6309728715568781,-0.7548474759829267,-0.7367390021681786,-0.602865492827014,-0.7150565698742867,-0.46945609571412206,-0.5840219041953485,-0.8658444434404373,-0.5191031095704862,-0.6443275767145679,-0.6802063372821519,-0.9796285927295685,-0.5106143036236366,-0.7228700451460885,-0.5172025311738253,uva
Claudrena N. Harold,0.5523680582125485,-0.7619631999897524,-0.20959514177720384,0.4969136472554398,0.42563356549342474,0.6381133150113257,0.501143250366052,0.45301459226081947,0.5263193878411043,0.5121400111221841,0.6383277682403121,0.6675691526383162,-0.6630491043130557,-0.8483081084710582,-0.9874730482697487,-0.7622543259018583,-0.872238396666944,-0.5920798943526197,-0.6130050303922459,-0.6512688845396042,-0.6760195429836001,-0.8888762276619673,-0.6103869803870718,-0.6431321191291015,-0.7065054076639089,-0.9703509621322155,-0.5642461773628991,uva
Justene Hill Edwards,0.605096940335412,-0.7622466851269637,-0.15714974479155175,0.5235612096921964,0.48294522406490004,0.61773997583294,0.42616285441177226,0.5721972168790488,0.4901606891599912,0.5466140434904057,0.8185209274291992,0.7431162834167481,-0.7411064352840185,-0.8813972100615501,-0.9355060216039419,-0.9545099381357431,-0.6799504771828652,-0.5744877378190936,-0.6096214704836409,-0.6856813590042293,-0.7524524334197245,-0.8807719331234694,-0.6784976887143954,-0.9091768898069859,-0.5742590494453907,-0.6664838432851766,-0.5140083336640112,uva
William Hitchcock,0.6861997215476026,-0.7700492284248489,-0.08384950687724635,0.7611168786883354,0.8141525328159332,0.6601775531060454,0.48781905669294784,0.7815051317214966,0.534101554681833,0.6858634043680994,0.6168416356245677,0.6898629494011402,-0.7350873239338398,-0.7598811720532401,-0.7164898985996843,-0.6812918747671777,-0.9084683861583471,-0.5674832221120596,-0.6470102502131149,-0.982428427785635,-0.7093048496171832,-0.6578262557508424,-0.8894444461911917,-0.7764191139489413,-0.7007392682135105,-0.7514585886150599,-0.8421734902076423,uva
Caroline Janney,0.5841662539900547,-0.643452324024402,-0.05928607003434727,0.8035990387201309,0.5591943011134667,0.5914879053051955,0.5445246731241544,0.5776256718787185,0.4277818408608437,0.485584203827576,0.6379369952612453,0.4484156702778169,-0.6361295815025058,-0.6084017553925515,-0.8721991740167141,-0.5579185661810794,-0.6160855205324922,-0.5933288405649364,-0.539884496903555,-0.603664094209671,-0.5621961709111929,-0.6405720876995474,-0.5718617400495347,-0.6870987396687269,-0.609267157688737,-0.8027974661439657,-0.5575558679074878,uva
Andrew Kahrl,0.5371648687301831,-0.7441949445913295,-0.2070300758611464,0.48767003049729457,0.42632243267131087,0.5841365826271829,0.5033969988425573,0.5541894961893559,0.525709725930783,0.5597787067826305,0.6521595700581869,0.4735766013463339,-0.6691481415182352,-0.6414542588044598,-0.8833145089447498,-0.8746411111205816,-0.7303129747509957,-0.8955972474068403,-0.6400081677362323,-0.6972725592731011,-0.6621813468102898,-0.8835737239569426,-0.6444466010033325,-0.631903479496638,-0.6457888285319011,-0.8548764060078948,-0.5360034569166601,uva
