name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Sidney Chalhoub,0.5275281564630636,-0.7763119796665208,-0.24878382320345716,0.5402252259949845,0.4112047200966593,0.49499000368485774,0.5303931210188516,0.5319738611578941,0.47209566400508696,0.6111472990896021,0.6155520171636627,0.47268756454189625,-0.6880037064353626,-0.7637151197564824,-0.8729667700827122,-0.746223983324824,-0.8765779547393322,-0.4904024972005145,-0.8838704945519567,-0.8758816793560982,-0.7687322854657065,-0.9042860493063927,-0.7138107437031721,-0.9380181524902582,-0.5176935947633216,-0.6565733506743398,-0.5452965890456523,harvard
Emmanuel K. Akyeampong,0.4860422961149769,-0.6890821251633209,-0.203039829048344,0.5107702936920999,0.39927695216421494,0.44964000068683724,0.4018818657660923,0.5385063476860523,0.42930910730409244,0.5739817773402741,0.5419532807833619,0.458868041386207,-0.5638365020975471,-0.7295284845900758,-0.6131802088625373,-0.5050386727198166,-0.8607442416250706,-0.5741615951806307,-0.6482491746642872,-0.7054838258773088,-0.6122002049038808,-1.035238292068243,-0.6323778043297688,-0.6623918439316399,-0.6146046283344428,-0.6747721295271601,-0.5180812484717795,harvard
Paulina L. Alberto,0.5190839893559,-0.7155413053559941,-0.19645731600009408,0.5235617402940989,0.3903378127480201,0.5412961067377575,0.3793754209443218,0.5666844700276852,0.5427088029655543,0.5216357949376106,0.6361666351556778,0.4611351487537226,-0.7148342552036047,-0.8873925416005981,-0.9152806475758553,-0.6101007480174303,-0.7268305398701203,-0.5350482842927291,-0.6458990784982841,-0.7148836828945648,-0.6567560033872724,-0.8742204932495952,-0.6595694294456265,-0.6468279516945283,-0.6061879402647417,-0.7090766686946154,-0.5662396756621699,harvard
Dimiter Angelov,0.4408767673866587,-0.6174359973862689,-0.17655922999961016,0.432720981325422,0.42718437659757147,0.3801885425282639,0.3356888703994808,0.3804929875310451,0.4314403742756507,0.6242288161601339,0.4026575723331391,0.4310025591248026,-0.5591073536447116,-0.5986818680539727,-0.5105849234387279,-0.5748416410448651,-0.539997729472816,-0.4995367227893439,-0.6273473728448152,-0.8799363179132342,-0.4446910988825204,-0.512856206007521,-0.5039357242484888,-0.9344524163752794,-0.4662517048418522,-0.563615024710695,-0.5806279033572987,harvard
No name found,0.5073090781943311,-0.6948655393894217,-0.18755646119509062,0.5032268689562167,0.5376515958227035,0.4071612511504264,0.4471455681022111,0.5196805913001299,0.42810533148772784,0.6580321897353445,0.5131391230330926,0.4611765590806803,-0.726733073219657,-0.7475835044902785,-0.6970897182822228,-0.5555259049093972,-0.8946283739060163,-0.546164776765458,-0.5818942882628604,-0.9236757382750511,-0.5372493967103462,-0.5491918902844191,-0.6386239358396442,-0.9037578124552965,-0.5600462207461105,-0.6078534407008972,-0.5237703024946462,harvard
George Aumoithe,0.545015967105745,-0.7512034909129491,-0.20618752380720418,0.6103454494788533,0.465441558267556,0.564106395509508,0.47472006201034506,0.5561620369553566,0.5254680251081785,0.5499453768134117,0.6294791632228427,0.4779835266371569,-0.6226383658746879,-0.7455098412768997,-0.9164661094546318,-0.6836683994670417,-0.6870339667601955,-0.5456737382337451,-0.6088999125134685,-0.8723981743678451,-0.6377906884465899,-0.8814188716933131,-0.6774819598150987,-0.6066556364918749,-0.9147838894277811,-0.920943470671773,-0.5911843568707507,harvard
Sven Beckert,0.5671711031932785,-0.7147314165807181,-0.1475603133874397,0.47787005667061727,0.5381244451271163,0.5651789873381685,0.4199770523181983,0.4638223276808372,0.5473849281668663,0.6196952272738729,0.629050955497751,0.7182824552059174,-0.6814129250496626,-0.7535635360551103,-0.6576529030001375,-0.9217762686312199,-0.8976787161082029,-0.5581837416577496,-0.5511742685498162,-0.9259653016924858,-0.6264375455211848,-0.6522105473908596,-0.707398840662567,-0.7679323717951775,-0.5655478349124844,-0.5618719124856095,-0.4847453099481954,harvard
Ann Blair,0.4475648160830805,-0.6461656754536915,-0.198600859370611,0.4582196891123985,0.3982907718128449,0.4294829763027528,0.3504986840990993,0.39920847534256826,0.4209625062617388,0.48274486769872393,0.5780349973077867,0.4352359500325596,-0.5876724285384018,-0.7448139507323503,-0.6866685027256608,-0.5814339636514585,-0.9309314582496881,-0.5458879884840413,-0.6128870857879519,-0.6649114700211656,-0.6162195146316662,-0.4706564983353019,-0.5484013048518035,-0.6217485989133518,-0.6908183964816007,-0.5900522364924352,-0.5347404249802683,harvard
Lorenzo Bondioli,0.30532302909518283,-0.4419805070145431,-0.13665747791936028,0.30549713848158716,0.24320479652826107,0.2912293043516902,0.17927094245387348,0.3034015761954444,0.2578532780928895,0.37044831301661146,0.2666851827605018,0.4057693463750184,-0.47758175805211067,-0.4810205256370338,-0.45185569742562387,-0.4743813348135778,-0.389177205786109,-0.48127611995571196,-0.5141357329807111,-0.3671743094921112,-0.4070280114846194,-0.35088728113394035,-0.41081791091139663,-0.4456395949972304,-0.3169465971489748,-0.5804436487766604,-0.2640065078333239,harvard
Sugata Bose,0.31334857650878367,-0.46623598711304476,-0.1528874106042611,0.26698681805021923,0.261391073815326,0.2978201511317569,0.20298964388758647,0.351406247898069,0.30695787107940503,0.37317216735860415,0.3494734586733911,0.3332280309870839,-0.4703982714563608,-0.43906389862298967,-0.49457783850476283,-0.4808865077460983,-0.376053948700428,-0.49329991814576923,-0.5859509759715625,-0.3544812093488872,-0.46518772264773195,-0.4212639183840817,-0.42477871095579045,-0.4439972774860891,-0.38486095382408664,-0.6029040828968089,-0.4037683868799547,harvard
