name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Kabria Baumgartner,0.495357429769462,-0.730792318976899,-0.235434889207437,0.4961412664297698,0.3723897227546294,0.5828163904317639,0.42759343549609186,0.5195565558969975,0.4529691434133123,0.43636441133248044,0.6269046280781428,0.4338328532602949,-0.6237518085787694,-0.7044555884599686,-0.9995728842914104,-0.6279508409705136,-0.6808590326635611,-0.5307872530115261,-0.5269858619088637,-0.833982165902853,-0.7038374282419682,-0.8681493131443858,-0.6300411008198487,-0.7362515039961127,-0.6577187125486407,-0.9080325458198786,-0.5155813383869827,northeastern
Timothy Brown,0.5818716647677622,-0.7594287792495361,-0.17755711448177391,0.5826183746400333,0.5858864991103903,0.5456499080643767,0.46612463866670933,0.7700098991394043,0.539324561961823,0.6275162358369146,0.5415988308688005,0.45470615451534596,-0.6752603265146415,-0.8044521843117698,-0.8751273546367884,-0.7056147865368414,-0.9653046745806932,-0.7504960502626311,-0.6397341446951031,-0.9337714426219463,-0.5767660439014435,-0.6506627657421632,-0.5669890388789651,-0.6528335387508075,-0.7098445246617,-0.9105489421635866,-0.6548263920648467,northeastern
Victoria Cain,0.540167189446958,-0.6418602525704219,-0.10169306312346393,0.5466498370085444,0.43846772525920763,0.5739487232764562,0.46025770877798405,0.5123585192486644,0.4901660343011221,0.5115080348469995,0.6160249218344689,0.6416605586186052,-0.5927504037196438,-0.7362911717069371,-0.6080503847006531,-0.5007694614760112,-0.8806745354086161,-0.5249159592203796,-0.5623193408052127,-0.812322775607754,-0.6042369195659246,-0.6768791965208948,-0.5803862375150499,-0.5758655300984781,-0.5240900206512639,-0.6326811687488642,-0.5475503325384732,northeastern
Dan Cohen,0.470225591319466,-0.5918523894280504,-0.1216267981085844,0.4728238068201713,0.4390184094490427,0.5152416312812813,0.44759012920161095,0.4529806224008402,0.469683620830377,0.4504463446810962,0.5325195959103959,0.43130206664403287,-0.5756280428419511,-0.5653574383845834,-0.5403615535566739,-0.46332453845700783,-0.5419556224799675,-0.5197198218666017,-0.5909088276326656,-0.8611028846353292,-0.5723712426577763,-0.6446262419689447,-0.49855890024477745,-0.5537450100916128,-0.6747901859608564,-0.6007520763669163,-0.4221526812010429,northeastern
Robert Cross,0.4804084574010306,-0.6926944303191547,-0.21228597291812407,0.44558790798414327,0.445231947110996,0.4362519758046803,0.40658232233354025,0.41403393015265466,0.39377270051174695,0.648748274573258,0.5855944307787078,0.41033583482106534,-0.6700598659884671,-0.755545502252601,-0.6044178313265245,-0.5769450470494728,-0.9515852220356464,-0.6025152510431196,-0.6504200442383687,-0.942095547914505,-0.5340152239317404,-0.4853798004000315,-0.5763712665066123,-0.9121556039899588,-0.5220660768253239,-0.5629147353271644,-0.49683762629444295,northeastern
Peter Fraunholtz,0.5962760607653806,-0.7131211209313052,-0.11684506016592455,0.5288382348910063,0.5862471320811034,0.6736293555961715,0.4733551849921545,0.7845397979021073,0.4165080614387989,0.6045814603376997,0.4827198891928701,0.6350002558694945,-0.6587631776928902,-0.7541363553178533,-0.690636039339006,-0.6130393693114029,-0.7260017894208431,-0.6142188306813213,-0.6629582374755826,-0.9162520077079535,-0.641077016456984,-0.6605325397104025,-0.7383471541106701,-0.5856019090861082,-0.6551445826888085,-0.8968929871916771,-0.6994323020773953,northeastern
Richard Freeland,0.5735567139767961,-0.6201187447027171,-0.04656203072592102,0.5381044907867909,0.5648927090985288,0.6025104039055961,0.4984446216374636,0.6887367457151413,0.4958206278713126,0.46019926749554185,0.5546454993883769,0.6715872023254633,-0.6416961482685546,-0.655411459505558,-0.6081758483002584,-0.6021434764067333,-0.6755382517530095,-0.5208885082551702,-0.564309081217895,-0.8423534031026065,-0.4835485650692135,-0.6459460340323858,-0.4889980293339651,-0.5731932396690052,-0.5764531988650561,-0.7142072502523661,-0.49481070622092205,northeastern
Gretchen Heefner,0.6309897609158293,-0.7513920050723653,-0.120402244156536,0.7741954863071442,0.5781382841022075,0.5569614561150118,0.595741358101368,0.7584762290120125,0.5023739946677404,0.7113330602645874,0.5962804992000262,0.42914553334315625,-0.8951303754001856,-0.6428259978578849,-0.888409816659987,-0.5622871352359653,-0.7223041500896216,-0.9010878223925829,-0.6349367065355181,-0.8813537629321218,-0.6745932390913367,-0.8309335082303733,-0.5578287190785913,-0.8576016146689653,-0.702365259329478,-0.6230136236796777,-0.5472066495000669,northeastern
Ilham Khuri-Makdisi,0.4557798056504749,-0.7496585432566046,-0.29387873760612976,0.4867249776700358,0.4923943484633688,0.4230298180428762,0.3943709732212635,0.4306484804468718,0.4052016783199736,0.5106836144130589,0.48492281052564823,0.4425101110090813,-0.67692888600211,-0.673134071752429,-0.6524452329112442,-0.6704244960197493,-0.9411112330853939,-0.601844179994342,-0.6213690061122179,-0.9169696383178234,-0.5568774994462729,-0.5992221316943567,-0.6561943169821192,-0.9418557416647673,-0.5025970246642828,-0.6845805095508695,-1.0377011746168137,northeastern
Jessica Linker,0.538121512102491,-0.6631040212470573,-0.12498250914456621,0.5679536798372063,0.43053804231697607,0.552680401250168,0.4490396734777135,0.5201397892087698,0.4654558220671284,0.47978397637605663,0.7620562180876732,0.45409670464694496,-0.6692965785041451,-0.6919400820483299,-0.6797863626852632,-0.5688988228018086,-0.900284007191658,-0.49642757030669604,-0.5840568613881867,-0.5917177299658458,-0.6327365960049278,-0.825813558883965,-0.5993115677788026,-0.7828414032442701,-0.4836348412362369,-0.620121198839375,-0.5003690119169053,northeastern
Katherine Luongo,0.5052447950616197,-0.7911778262300435,-0.28593303116842383,0.511117203586789,0.36719877704579446,0.4962544451556858,0.412967433324882,0.531670942902565,0.4563904497752745,0.6165386174406324,0.6124704476576003,0.4200533411776027,-0.8251375198364258,-0.8758370449973476,-0.6585755149523418,-0.5531445138156414,-0.727904718014456,-0.47771715998117414,-0.9217891488224268,-0.9214662499725819,-0.7919329529007277,-1.032980877906084,-0.5377648424558946,-0.9232102446258068,-0.473026336170733,-0.9151090234518051,-0.5680917994298956,northeastern
Kris Manjapra,0.4895593146946458,-0.8472505310151722,-0.3576912163205264,0.5051229546372853,0.44596453197904096,0.44444804158475665,0.39341748251961317,0.44433099224579103,0.4823193341493607,0.5982146927383211,0.5578670385084887,0.4680579749246439,-1.0012842454016209,-0.9320230856537819,-0.944658761844039,-0.6944062894003258,-1.000643067061901,-0.5277166375145317,-0.9386788792908192,-1.0108603090047836,-0.9566361010074615,-0.6016025971621275,-0.716913683101871,-1.0011171661317348,-0.5419101342558861,-0.6264623926420297,-0.5265014755672642,northeastern
Jessica Parr,0.5506320735759311,-0.7706628836306892,-0.2200308100547581,0.5225252974459104,0.4647993784582976,0.6503545721823519,0.44607022549383574,0.5287542827427387,0.5272048261310115,0.5807185821767364,0.6710441142320633,0.4697709081073603,-0.7516492303460837,-0.9766453057527542,-0.9263754282146692,-0.6248846041659515,-0.727898814342916,-0.5077254836955531,-0.8475602035794187,-0.8731574770063162,-0.5456055025570095,-0.8500276687555015,-0.7311176775644223,-0.9012027382850647,-0.6655467088733401,-0.6596006147031274,-0.5533238724172671,northeastern
Christopher Parsons,0.5307123846783466,-0.7145585121848601,-0.18384612750651352,0.4613847543795904,0.5021266043484212,0.5858035784018668,0.4437872738007343,0.516582677140832,0.39672781133225987,0.3964161922065869,0.7977784812450409,0.41927211054911223,-0.7272815896198154,-0.6562107320510966,-0.6460189100238495,-0.4715740670346552,-0.6824750676751137,-0.8912756498903036,-0.5646699341014028,-0.908773235976696,-0.8756752330809832,-0.6657890969421715,-0.5749861519638594,-0.9146483913064003,-0.5039853570786746,-0.6378166452981532,-0.5355406543628003,northeastern
Malcolm Purinton,0.46849650573321844,-0.7228622514377091,-0.25436574570449066,0.4518802448448681,0.44754146747929713,0.46193765036869744,0.44731495335762633,0.4530344035701146,0.4571936738761988,0.504399806748737,0.5125167401221695,0.4703952034314474,-0.6713160077730815,-0.6525189193586509,-0.691251564398408,-0.5547583931988036,-0.988145723938942,-0.5307985519369443,-0.5648805672193276,-0.9498161375522614,-0.541742481839131,-0.9096773639321327,-0.5224680059722492,-0.9649389907717705,-0.5117548480629921,-0.5560991279780865,-0.5609066284572085,northeastern
Simon Rabinovitch,0.5445103689191052,-0.7357668450205072,-0.19125647610140195,0.562891847065517,0.45139517623517256,0.6179519507396329,0.4003023858416777,0.7284068778157234,0.503879436160966,0.6097589998985782,0.4181928484116025,0.4053417516251406,-0.6255072807974142,-0.7660968282294496,-0.744849869817057,-0.6028976707408826,-0.9396365955471992,-0.5975658121434125,-0.8877609875053167,-0.8871173551306129,-0.6304983581815448,-0.596992668828794,-0.6803735877786364,-0.8863278962671757,-0.6082356527447701,-0.6838791573677084,-0.5746360377813617,northeastern
Heather Salter,0.6404746219156673,-0.8048824352398684,-0.16440781332420107,0.7865815699100495,0.6471849939425787,0.6131703375570545,0.49657791860444206,0.7732976019382477,0.4666766628321975,0.6778386710778526,0.6527403639628055,0.44886378825952616,-0.886775204539299,-0.8052600787055715,-0.902043778449297,-0.6723504839258063,-0.9965311475098133,-0.5217079815587827,-0.677526085327069,-1.0139466561377048,-0.5942805297672749,-0.7194433646276593,-0.5849362943498861,-1.0671673454344273,-0.6922252468764782,-0.7413409873843193,-0.6888396079755492,northeastern
Philip Thai,0.6594398072229337,-0.7282707263260392,-0.06883091910310546,0.64980568420887,0.5890708079987244,0.5679952232878676,0.6593843968378172,0.7694685697555542,0.43359001243871353,0.754576125741005,0.642986598610878,0.7302927538752556,-0.639800079787771,-0.6752157761388786,-0.6920308301757488,-0.6467417484770219,-0.8753332421183586,-0.5328880809247494,-0.8838622570037842,-0.9389586765319109,-0.6472876970656216,-0.6804154283367098,-0.7316968831594078,-0.6476677438865106,-0.732950619506565,-0.743671165779233,-0.6144619767624906,northeastern
Michael Thornton,0.4357263817361726,-0.6228904867187502,-0.18716410498257763,0.4155608019714517,0.4160334113571379,0.3829113262924022,0.30142616395439414,0.41084630061137056,0.43939783076445266,0.4709549238639219,0.5370678724319327,0.4675284845133623,-0.7625430315732956,-0.5701851746575399,-0.5067972665419802,-0.5681881448253989,-0.6201246180385351,-0.5549851171672344,-0.5863489859870502,-0.6174544323980808,-0.5295273891783187,-0.5759081916573148,-0.46018710246010286,-0.9282383713871241,-0.5157894682796562,-0.6774337962269783,-0.5581967769574264,northeastern
Louise Walker,0.555410666726386,-0.7530188377341255,-0.19760817100773953,0.505535783075151,0.438290722510521,0.5517245125294734,0.39536774167831323,0.48097839181621876,0.5392649732175328,0.6115438003625189,0.6679691379720515,0.6700949292629957,-0.7742805551737547,-0.7044956362752736,-0.9427175968885422,-0.908873688429594,-0.7706427544193424,-0.6225553155792031,-0.7219828350567504,-0.7450542382733978,-0.6157331075519323,-0.653526876680553,-0.6968092228646366,-0.913264287635684,-0.5257015058149894,-0.7203855836763978,-0.7234381671886946,northeastern
Martin Blatt,0.5109901022318984,-0.6723613169984081,-0.16137121476650962,0.46412887179205653,0.45936703149155383,0.6536216575014699,0.4569974933700128,0.5040600942623754,0.46311924755573275,0.5224606350064278,0.5705403972665469,0.4224771612634262,-0.6647009365260601,-0.7737290074151977,-0.7337413833787044,-0.4997704012452492,-0.9036719165742397,-0.513878073277218,-0.57654408706973,-0.6969010783359408,-0.5613413313403726,-0.8473796299658716,-0.6127186694132967,-0.6112740232298772,-0.5986737173050642,-0.6505225991002388,-0.5302681515690356,northeastern
William Fowler,0.5473035376733194,-0.6404901582845971,-0.09318662061127769,0.5988646801710129,0.45261100704944324,0.6527686199004,0.4906628727280733,0.5135387712648707,0.531220473416827,0.5138490739464759,0.6380206274134772,0.44974135023852196,-0.5619637236080093,-0.5847609113804144,-0.6534572645005855,-0.6088619811515159,-0.5697998451068997,-0.45395942592424243,-0.5352939005941153,-0.6685575228184462,-0.8431467059999704,-0.6463014564127662,-0.5942463195212367,-0.8561721704900265,-0.5862826939672232,-0.6130360729164548,-0.5836201267930764,northeastern
Laura Frader,0.4881480940440522,-0.7328332088282913,-0.2446851147842391,0.6026260645069601,0.41102248904250915,0.5274576486767479,0.34319654406277195,0.5420472587976192,0.42222170003586346,0.5100112575292587,0.4767659052383621,0.4542969649036726,-0.8197692280842197,-0.7856741974104973,-1.0057469196617603,-0.6386196284244459,-0.9225140064954758,-0.5285091442056,-0.5610025068745017,-0.8982458915561438,-0.592207373786633,-0.5116992474067956,-0.6763154862241614,-0.8276326097548008,-0.5340855511074717,-0.6351949434195246,-0.47754070229296175,northeastern
Robert Hall,0.5048152032000602,-0.7148279808081633,-0.2100127776081031,0.46466797816966265,0.3503599272313572,0.5810516760340729,0.5432316094636918,0.39711286730187784,0.5260464258137203,0.3987178219298995,0.6653784646590551,0.44832157505055276,-0.6823623968909185,-0.720902293175459,-0.9725411720573902,-0.615150183128814,-0.7451995979994536,-0.5001038612930903,-0.5756100738311516,-0.5959839184458058,-0.8706788141280413,-0.9023606516420841,-0.701141338440634,-0.6939474701881408,-0.48843306116759777,-0.6917745314006295,-0.5513461904600263,northeastern
Tom Havens,0.5956153112332117,-0.7607640963483913,-0.1651487851151796,0.6377460566140987,0.8017670005559921,0.5283584522050724,0.553511667251587,0.6480843223582685,0.46480933303514355,0.5477926958820005,0.5608646858069632,0.4647160840531191,-0.7124169319868088,-0.6355936691503633,-0.7014960438781788,-0.6514814099554298,-0.7478973507881165,-0.7872700529793897,-0.6741559474783785,-0.9430543445050716,-0.6248177333694437,-0.6692521524149925,-0.6276516476429153,-0.7531420085579157,-1.0308307148516178,-0.9291868302971125,-0.5978277579538132,northeastern
