name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Nora Elizabeth Barakat,0.5407927019102325,-0.8065475202036659,-0.2657548182934334,0.5128297560300146,0.4456317629341956,0.5181745079656441,0.35119831410611607,0.5681386631727219,0.4203529529478213,0.5913889716565609,0.6053886940081914,0.6878046669065953,-0.6327179931104183,-0.747782192848347,-0.6461385730458866,-0.8907980397343636,-0.9284479841589928,-0.8601397294551134,-0.6709974675128858,-0.9270418733358383,-0.9089298471808434,-0.7049678457900882,-0.6299434935574161,-0.9443891532719135,-0.548036623497804,-0.6730395685881376,-1.0001708306372166,stanford
Jennifer Burns,0.5463806860761355,-0.7509190684364022,-0.20453838236026667,0.46644496767587135,0.44171706928782,0.6122934412401361,0.4038191517810156,0.4406626798283486,0.44977002903819085,0.6086326648082052,0.5912698292069964,0.721486882865429,-0.6203425439695518,-0.9135327748954296,-0.9262351803481579,-0.9321864992380142,-0.8911335952579975,-0.6035848447520819,-0.6103500746190548,-0.8813518397510052,-0.5819943770932566,-0.6203852040693164,-0.7746771803994974,-0.6215991188826806,-0.6755962289337601,-0.6052444639305274,-0.6146444350948944,stanford
Joel Cabrita,0.5207342555424548,-0.8379650223206433,-0.3172307667781885,0.5218095996290575,0.4330767229763202,0.5426246815378015,0.3648833935632011,0.5509538017213345,0.4420282924351583,0.6175316606249128,0.6291541934013367,0.4611999613543352,-0.829410595446825,-0.9272817224264145,-0.9215040523558855,-0.6770284725779218,-0.9766887240111828,-0.5918844693029921,-0.5926159309113728,-0.9570107720792294,-0.9630169365555048,-0.9648525267839432,-0.5925719930479924,-0.9348298627883196,-0.6429260267565649,-0.6691911946982145,-0.8920274972915649,stanford
James Campbell,0.5138438636089544,-0.7226718905854776,-0.20882802697652325,0.4605333299054152,0.44542099539475916,0.5408687567509207,0.4066723514106367,0.4923715961476168,0.43230491709855756,0.6363789473261152,0.6383062581883537,0.45288636324306336,-0.6394949821836275,-0.7926751912605985,-0.6248791373024385,-0.6719124283057218,-0.9678669199347496,-0.47283390659669583,-0.643560257429878,-0.9571839794516563,-0.5685451805591584,-0.910152031108737,-0.49558704600979886,-0.7106172262745745,-0.5586458798497915,-0.7687914402534566,-0.5194891422986985,stanford
Gordon H. Chang,0.5381589525907654,-0.7151173733199054,-0.17695842072914003,0.4780253197639794,0.4421830089536924,0.6025203870825396,0.4494390907380488,0.41714667288556934,0.40958329232689605,0.7468160927295685,0.6065473353578931,0.4938375761111578,-0.5931304102844519,-0.6813407192113757,-0.9386970866471529,-0.5636735257825681,-0.9354108590632677,-0.48006886007663396,-0.928015161305666,-0.911299504339695,-0.6292088559518259,-0.6317966879345477,-0.5810880180588132,-0.6439973084876935,-0.558195527473634,-0.602319996803999,-0.48020397426901884,stanford
David Como,0.4986389107656142,-0.6502771194333156,-0.1516382086677014,0.4187501518486835,0.3727370636874232,0.5729893380572282,0.40313931362118044,0.40523705004077215,0.41861153307687554,0.6303713206733976,0.6279504822833197,0.4627397598077854,-0.6066839819153149,-0.7883873728138431,-0.49083990392585597,-0.6859789438545704,-0.9560245107859373,-0.4701306954957545,-0.6175591139630838,-0.9385003354400396,-0.44429537140143416,-0.4941234781539866,-0.4424365176819265,-0.6255955999607549,-0.522680101916194,-0.5055391590421399,-0.5124336707830066,stanford
Robert Crews,0.5375295107705064,-0.7849339855996936,-0.24740447482918726,0.585371092586565,0.5251134336477683,0.537616277590282,0.4926035178204378,0.5423451176558445,0.3702974734897901,0.6842488803466161,0.5395486146341714,0.4438796590392789,-0.9320756532251835,-0.7466903195750936,-0.6747628492968423,-0.554236464202404,-0.9487922042608261,-0.5121683186984488,-0.6133097453663747,-0.97042615711689,-0.8520068572834134,-0.6838571635074914,-0.6359963511515941,-0.8966076113283634,-0.7098112023350868,-0.6378567162901163,-0.9499934613704681,stanford
J. P. Daughton,0.5867216947954297,-0.7851673668492241,-0.19844567205379438,0.5224317851662635,0.6421493900886325,0.5139596068552861,0.4812858840836075,0.598552814121145,0.4673578692489334,0.6299696721633276,0.6386863235443357,0.6939434498548508,-0.9628459271043539,-0.7483166881871446,-0.6478412455169573,-0.6381602908174198,-0.9353767354041338,-0.8710469184443355,-0.6208641404906909,-0.9484015982598066,-0.587099390104413,-0.9327290039509535,-0.7024472995847464,-0.9402776155620813,-0.609101177379489,-0.6364786877696004,-0.5270493714761225,stanford
Rowan Dorin,0.5237283274359927,-0.6171509126233513,-0.09342258518735858,0.6127305628671532,0.4636809754433237,0.45820940443148894,0.36142367067436376,0.5105809820815921,0.42393611750066884,0.4247030258178711,0.5666289020578067,0.7060818389058113,-0.5759705974906684,-0.60642459887499,-0.6773060121263068,-0.5316565780138428,-0.5626195017248392,-0.5778225535442206,-0.6411923071369529,-0.640129819597033,-0.5772734660006661,-0.6398026417940855,-0.690442511160928,-0.5907232686877251,-0.5387426761289438,-0.5577978709867846,-0.758372292167159,stanford
Paula Findlen,0.5600972380142649,-0.7112238123271504,-0.15112657431288545,0.6582478111145043,0.5057653163237543,0.4864548224637731,0.3816663265735775,0.5462815019819472,0.3959606029695333,0.6169787616034349,0.5874428200887308,0.6882202416658402,-0.6370759649283213,-0.7478159160387738,-0.8195086040068418,-0.5985151822161343,-0.9635325446724892,-0.7745461400287845,-0.6238917956749599,-0.9177638795226812,-0.6289415005594492,-0.6581924599595368,-0.693146204440922,-0.6451780299345653,-0.5393247528170998,-0.5616699528569977,-0.48341880099615087,stanford
Zephyr Frank,0.45761567439807826,-0.6932229511636092,-0.23560727676553095,0.4420343473706467,0.34182324237293665,0.4799880104098055,0.31273439743507103,0.3595754250884056,0.391179035468535,0.6067435507405372,0.5462949090550099,0.4648291317125162,-0.5639559020184809,-0.7694669493508561,-0.8593585640192032,-0.5171676016309196,-0.9649964440613985,-0.5164468362927437,-0.6210525421933695,-0.9674329794943333,-0.5430695340037346,-0.6599679798819125,-0.6453151093849113,-0.6236289112518232,-0.49386375211179256,-0.6215808048312154,-0.45627092159286675,stanford
Jonathan Gienapp,0.5910608008170775,-0.6265633829245977,-0.03550258210752022,0.4809990783780813,0.46495159258079244,0.6194905418488714,0.48569299177044917,0.460553809752067,0.7529414162039757,0.6021265868629728,0.7749216049909592,0.442346922804912,-0.6610362567007542,-0.7253685284243978,-0.655125170763996,-0.5199042074382305,-0.7142449455335736,-0.5532765036138396,-0.5824495460427201,-0.6957345228642225,-0.5760523138257365,-0.6423028686316684,-0.5806207216679404,-0.6642421977594495,-0.6157248324404161,-0.5759489701348217,-0.5421471121021032,stanford
Fiona Griffiths,0.3901791857631321,-0.6586118652757234,-0.26843267951259125,0.4214354554841142,0.3453241995210061,0.3983815134471065,0.3318813546658982,0.34514967269419383,0.36086899222321256,0.4493974213524346,0.3991501375807054,0.4239630324145159,-0.5438477502514918,-0.7297948654741049,-0.8679804038256407,-0.7120626075550938,-0.913318807259202,-0.5128415811500004,-0.59284571527193,-0.6495919238022041,-0.5256649747025222,-0.46079806223347347,-0.592408907593035,-0.5471194442361593,-0.5181211649573275,-0.49061894428450614,-0.779377909621807,stanford
Stephen Haber,0.5315790745554765,-0.6807021589830652,-0.1491230844275887,0.4716720443311808,0.4487233219182853,0.4495066113350862,0.40255933562034657,0.4769728628297647,0.4724334890643756,0.6406339292015348,0.4317121009449582,0.7679325953125954,-0.6183363214756052,-0.7520822116208299,-0.6873577517346691,-0.6459803760465649,-0.8946412075310946,-0.5734237187231581,-0.5936315790326758,-0.9565812833607197,-0.4852416916226503,-0.49147702691912215,-0.7070647711969085,-0.7147373728868035,-0.5478539912199433,-0.6242196049009051,-0.5118019398203312,stanford
Gabrielle Hecht,0.5468733422192656,-0.7571800983319266,-0.21030675611266092,0.5722423037091892,0.42256380157037216,0.4832638985574955,0.4347413742061084,0.5810872692200874,0.43403154210293066,0.6315714009864288,0.5292761072764794,0.6943692468106747,-0.6469874965647857,-0.815037093780659,-0.8169775801222949,-0.5429462794806554,-0.9215811844915152,-0.9297540057450533,-0.6136437779800459,-0.9546360392123461,-0.6029579179982345,-0.9165947530418634,-0.6403367525019815,-0.6408137937131173,-0.6545268042633932,-0.6989902684775493,-0.5419186360049759,stanford
