name,target_score,avoid_score,total_score,military_score,american_wars_score,geopolitics_score,early_america_score,science_tech_score,political_thought_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score
Manuela Achilles,0.7685543358066984,-0.8044172039750952,-0.03586286816839679,0.7536874227960798,0.7256765379010979,0.8335906076045252,0.7505176672213705,0.7211670449817675,0.7904240996252351,0.7919539225584677,-0.7049823684463082,-0.7684414894921727,-0.7847610962879591,-0.721330914133427,-0.9488547083517969,-0.9207971611161541,-0.7033104365498191
Fahad Ahmad Bishara,0.833576538131235,-0.8219522238684265,0.011624314262808522,0.8564455789801575,0.7222146662517706,0.8176405234269724,0.7989266501460133,0.7147318943171721,0.9293062679361808,0.9376011137996342,-0.7958570817801177,-0.7950166942707537,-0.9194421181398645,-0.9284416712143762,-0.8178620593506027,-0.6879175546693989,-0.7546736545730736
Emily Burrill,0.7863350190807875,-0.8127107740717766,-0.026375754990989098,0.843836140878035,0.6605003469584828,0.7821478119016262,0.814819504265885,0.7857658235300382,0.9321914413435411,0.5767960944300078,-0.9440708906185193,-0.8548299191948373,-0.9291503891976398,-0.6609416747079434,-0.7797106123365305,-0.7214223192375662,-0.7043745928617566
Indrani Chatterjee,0.7085420447335387,-0.7459835947402227,-0.03744155000668403,0.6507842397449515,0.5886167682841579,0.7972280990031034,0.6268222104386989,0.6380133872040095,0.9308885316335459,0.5827990969089463,-0.6652509809863586,-0.8005234026331258,-0.9274220087745128,-0.6470739924908622,-0.7767669981668518,-0.6294623054953307,-0.6801334896137784
Christa  Dierksheide,0.8291104690316655,-0.8030816085633796,0.026028860468285897,0.718116068532765,0.8682860943871479,0.7804136203439453,0.9583215529831646,0.7853547901444493,0.9359713325544311,0.6715964739586064,-0.8846954709895161,-0.8001102456073657,-0.9316603782404295,-0.7492034570979925,-0.7742043277213708,-0.6484405007171754,-0.7684405812538408
Laurent  Dubois,0.705531574493085,-0.7409150813822937,-0.03538350688920866,0.6706863147741231,0.7616469044256311,0.7147752629991544,0.7705093760722459,0.6680251281637417,0.7074103086340159,0.6213303411759823,-0.6690904177740111,-0.7139288083764641,-0.7780382026698965,-0.6428403995386627,-0.9277863592555284,-0.6781326448269364,-0.6989748456600947
S. Max Edelson,0.900777266122295,-0.857009642811709,0.043767623310586035,0.8246216310973332,0.8524604770002879,0.8378707210795772,0.9607233397071036,0.940095384062392,0.9316101389984485,0.9364612818820373,-0.8906336493544382,-0.794330489368877,-0.745752818855574,-0.703259969791466,-0.9372501714995618,-0.9220080852016467,-0.9378369475724593
Kevin Gaines,0.521300424876094,-0.5694719659409295,-0.048171541064835566,0.5400763731591739,0.473912144498244,0.5612225705398342,0.5068185066625229,0.5568686201149455,0.4914159532689084,0.5057407222961103,-0.5527736763264091,-0.5899925066015699,-0.6031152757521443,-0.620922989905577,-0.4536645915883462,-0.6071242727055626,-0.5206133829818453
Chris Gratien,0.8476640904243392,-0.8353692335964849,0.012294856827854361,0.7977072663453947,0.7960971454420693,0.8394179641202351,0.8285879623911647,0.9072198737999675,0.9328271519799023,0.8108622920768386,-0.7092937931128673,-0.7973471373347305,-0.9228720764468037,-0.6507792678200538,-0.7844525837075658,-0.930745027019275,-0.9513008841197415
Grace Elizabeth Hale,0.7583012416827424,-0.7899895439692273,-0.03168830228648489,0.7526241827901059,0.7251372352652712,0.8317709980550545,0.8083100419559728,0.7080396874607319,0.7876203111520752,0.6673147988906873,-0.705735315720985,-0.6962815638004454,-0.9303906370838619,-0.7252403397108753,-0.9477453139971512,-0.6907977060135053,-0.7356841730209784
