name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Simon Balto,0.5019607811925848,-0.6863373023937726,-0.18437652120118775,0.5352610523462296,0.3985429963949083,0.5355148343670937,0.4351505784051759,0.5680050998926163,0.48523695306475356,0.3837212092346616,0.6173372476299605,0.4564880744864544,-0.5847844843649203,-0.7447591858605545,-0.7526416927576065,-0.7649637581480128,-0.5494745360577808,-0.48076561915998656,-0.5478794505710112,-0.513731394628329,-0.5403955091855356,-0.891848860308528,-0.6459695978256719,-0.6204847805202007,-0.9409953020513058,-0.7093255381499018,-0.6053452442681033,wisconsin
Mou Banerjee,0.45900623281713565,-0.6827567499762687,-0.22375051715913302,0.40108720750680993,0.3227645338524662,0.40385842964053154,0.3707040642946959,0.37027007812126117,0.46700456360029796,0.6011021134044443,0.5775537567116596,0.4533814561863741,-0.807456137239933,-0.7143745720386505,-0.5464793595828681,-0.5971378031137743,-0.6064249381422997,-0.5008424451465117,-0.6739247000831015,-0.5520690318197012,-0.9878909513354301,-0.5970094163591664,-0.48658199879148656,-0.9433028306812048,-0.46234060637652874,-0.6312834444854941,-0.6025262364141998,wisconsin
Brandon Bloch,0.49749204193222535,-0.6810882771419651,-0.18359623520973972,0.49973829190851515,0.465437763943595,0.4680913705392123,0.46622314279278126,0.47250198282892747,0.5548627889626905,0.6000749912645136,0.4833409966753116,0.4198281064008674,-0.6797175991038482,-0.6632478404790163,-0.6461473993424859,-0.5882763338166398,-0.9058219492435455,-0.5057854695478454,-0.5387692984193564,-0.8671761089935899,-0.6585466648296765,-0.4257772860250303,-0.5479338358762482,-0.6036920982102554,-0.9545850213617086,-0.618193109615734,-0.5059309894460495,wisconsin
Laird Boswell,0.530883079443552,-0.6649548989008204,-0.13407181945726843,0.5873993202098199,0.46841117077204925,0.47577044321010575,0.4422058916961154,0.727453151345253,0.3839182705289186,0.6087151166583811,0.43109190986285256,0.46799344172080365,-0.6852491546807618,-0.6369699219216438,-0.6533502525184304,-0.7253188232057973,-0.722354068979621,-0.5630399747328325,-0.803801197372377,-0.6751352777881992,-0.6573074714591107,-0.49934836421743967,-0.690672577529024,-0.5847443632781506,-0.6345569334924221,-0.678319043612906,-0.6530816295494635,wisconsin
Ashley Brown,0.5299024310434399,-0.6632161530024349,-0.13331372195899494,0.5657323971390724,0.4502179450136528,0.5584752691725288,0.43078146124879524,0.4067147279475574,0.43364496535123,0.6941074930131436,0.607525784737534,0.4729326523042151,-0.6041506230831146,-0.8308563444601453,-0.6861494897554319,-0.7443845560473782,-0.7533878978341818,-0.4771503267942795,-0.5613714987412095,-0.6462994311851534,-0.5647555431351066,-0.8623355273157358,-0.5837715536953586,-0.5914989486336708,-0.5471811534038612,-0.6124089981118839,-0.6256554065403916,wisconsin
Emily Callaci,0.5166379289299573,-0.8080646685082765,-0.2914267395783192,0.5434923872351647,0.4540923687887003,0.4556220743739814,0.3836702159822825,0.5527922138571739,0.41374582905988183,0.4783248099684715,0.5719705053454354,0.6689450234174729,-0.9990560561418533,-0.6856164286533992,-0.8797036735340953,-0.7034108938747331,-0.9682660009711981,-0.6388225966048512,-0.7328666783869267,-0.9202643595635891,-0.6844107500676598,-0.9948003217577934,-0.587093448405035,-0.9451436549425125,-0.5882658806762525,-0.6875251486365285,-0.6922038505700502,wisconsin
Giuliana Chamedes,0.6298592860074207,-0.8170602253294968,-0.18720093932207615,0.5411040761641094,0.7377165496349335,0.5875985692470682,0.6195759509290968,0.7315418064594269,0.495133804915032,0.6313813019675367,0.5183012223782993,0.6996683530509472,-1.0475860834121704,-0.8108479675871356,-0.8907439857721329,-0.8171431892647825,-1.0045425333082676,-0.4990647619900604,-0.6816209057966869,-1.0072711035609245,-0.597164897905553,-0.6022023522694196,-0.7451802181047307,-0.9524079989641905,-0.7170397366086643,-0.7838256155620471,-0.5462097580989007,wisconsin
Cindy I-Fen Cheng,0.5307565164725344,-0.6401915789911887,-0.10943506251865431,0.4248620465879602,0.5031745021324107,0.4853710155814234,0.4966809304431081,0.7072431012988091,0.4291204493618819,0.4869162383675575,0.6507521428664526,0.43945455014084783,-0.5845613018423319,-0.8575218431651592,-0.677238595361511,-0.5285842665471137,-0.8827050281688571,-0.41687363386154175,-0.5862367518246174,-0.6349530490961942,-0.5359074610418507,-0.6619522889144719,-0.45376684443609683,-0.5880950946981709,-0.5606780240312219,-0.7009565151695695,-0.5550521237081757,wisconsin
Kathryn Ciancia,0.4653968699581568,-0.68881684473419,-0.2234199747760332,0.4768167531415498,0.444963850868392,0.4216146465442168,0.3904923294033066,0.48979439586400986,0.39348184773743433,0.5581250208616256,0.5263971208532652,0.42760206966971365,-0.6621714115142823,-0.6938993046906862,-0.7117913529276848,-0.5738046737387776,-0.9573721904307604,-0.5026342321320304,-0.6811189415554206,-0.940429849550128,-0.559149179297189,-0.5107002468032175,-0.5700045414188337,-0.7734559156000614,-0.6111074273784955,-0.6027022652948897,-0.5737245214809523,wisconsin
Joe Dennis,0.4095255044482605,-0.599308671473789,-0.18978316702552844,0.44124899686624613,0.35102001932137256,0.37589221603145784,0.36110507317538143,0.3598733153070013,0.39277603400601485,0.401592060558207,0.5033585374199209,0.44765247007211056,-0.610732341632247,-0.5906417181619414,-0.5732620678886415,-0.46358145537148976,-0.47430259057631097,-0.5607984681529078,-0.6161897093057632,-0.5941090591050769,-0.5244090147316456,-0.5089413441407185,-0.6213244376367659,-0.9016917757689953,-0.4740823768079281,-0.6696796949420657,-0.5244597691084103,wisconsin
